X (Grid)	Y (Grid)	X (m)	Y (m)	Data
63	93	254	26	1.365211
64	93	258	26	1.400368
65	93	262	26	1.419953
66	93	266	26	1.917776
67	93	270	26	2.180526
68	93	274	26	2.72642
69	93	278	26	1.947405
70	93	282	26	1.921892
71	93	286	26	1.886189
72	93	290	26	1.855148
73	93	294	26	1.283987
74	93	298	26	1.285577
75	93	302	26	0
76	93	306	26	0
77	93	310	26	0
78	93	314	26	0
79	93	318	26	0
80	93	322	26	0
81	93	326	26	0
82	93	330	26	0
83	93	334	26	0
84	93	338	26	0
85	93	342	26	0
86	93	346	26	0
87	93	350	26	0
88	93	354	26	0
89	93	358	26	0
90	93	362	26	0
91	93	366	26	0
92	93	370	26	0
93	93	374	26	0
94	93	378	26	0
95	93	382	26	0
96	93	386	26	0
97	93	390	26	0
98	93	394	26	0
99	93	398	26	0
0	92	2	30	0
1	92	6	30	0
2	92	10	30	0
3	92	14	30	0
4	92	18	30	0
5	92	22	30	0
6	92	26	30	0
7	92	30	30	0
8	92	34	30	0
9	92	38	30	0
10	92	42	30	0
11	92	46	30	0
12	92	50	30	0
13	92	54	30	0
14	92	58	30	0
15	92	62	30	0
16	92	66	30	0
17	92	70	30	0
18	92	74	30	0
19	92	78	30	0
20	92	82	30	0
21	92	86	30	0
22	92	90	30	0
23	92	94	30	0
24	92	98	30	0
25	92	102	30	0
26	92	106	30	0
27	92	110	30	0
28	92	114	30	0
29	92	118	30	0
30	92	122	30	0
31	92	126	30	0
32	92	130	30	0
33	92	134	30	0
34	92	138	30	0
35	92	142	30	0
36	92	146	30	0
37	92	150	30	0
38	92	154	30	0
39	92	158	30	0
40	92	162	30	0
41	92	166	30	0
42	92	170	30	0
43	92	174	30	0
44	92	178	30	0
45	92	182	30	0
46	92	186	30	0
47	92	190	30	0
48	92	194	30	0
49	92	198	30	0
50	92	202	30	0
51	92	206	30	0
52	92	210	30	0
53	92	214	30	0
54	92	218	30	0
55	92	222	30	0.321479
56	92	226	30	0.850676
57	92	230	30	1.321973
58	92	234	30	5.361146
59	92	238	30	12.466084
60	92	242	30	5.311674
61	92	246	30	1.337429
62	92	250	30	1.318342
63	92	254	30	2.471879
64	92	258	30	1.903404
65	92	262	30	2.460592
66	92	266	30	2.722821
67	92	270	30	3.144973
68	92	274	30	2.387834
69	92	278	30	2.449374
70	92	282	30	2.434972
71	92	286	30	1.842314
72	92	290	30	2.284806
73	92	294	30	1.649531
74	92	298	30	1.175933
75	92	302	30	1.215839
76	92	306	30	0
77	92	310	30	0
78	92	314	30	0
79	92	318	30	0
80	92	322	30	0
81	92	326	30	0
82	92	330	30	0
83	92	334	30	0
84	92	338	30	0
85	92	342	30	0
86	92	346	30	0
